* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -13.8 dBFS, measurement signal peak level -12.8 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:55:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R HØJ Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
171.929169 97.136 34.9985
172.265625 97.134 34.8826
172.602081 97.145 34.7884
172.938538 97.168 34.6596
173.274994 97.197 34.4577
173.611450 97.223 34.1766
173.947906 97.242 33.8420
174.284363 97.250 33.4962
174.620819 97.249 33.1768
174.957275 97.246 32.8988
175.293732 97.245 32.6509
175.630188 97.246 32.4062
175.966644 97.248 32.1436
176.303101 97.247 31.8649
176.639557 97.239 31.5966
176.976013 97.228 31.3749
177.312469 97.218 31.2212
177.648926 97.219 31.1221
177.985382 97.234 31.0282
178.321838 97.264 30.8744
178.658295 97.300 30.6119
178.994751 97.333 30.2325
179.331207 97.353 29.7725
179.667664 97.358 29.2942
180.004120 97.348 28.8572
180.340576 97.333 28.4931
180.677032 97.320 28.1951
181.013489 97.314 27.9274
181.349945 97.313 27.6489
181.686401 97.313 27.3355
182.022858 97.310 26.9914
182.359314 97.298 26.6439
182.695770 97.280 26.3271
183.032227 97.258 26.0656
183.368683 97.236 25.8642
183.705139 97.219 25.7089
184.041595 97.209 25.5763
184.378052 97.205 25.4446
184.714508 97.205 25.3010
185.050964 97.208 25.1418
185.387421 97.213 24.9675
185.723877 97.219 24.7766
186.060333 97.226 24.5632
186.396790 97.233 24.3194
186.733246 97.238 24.0426
187.069702 97.237 23.7414
187.406158 97.230 23.4373
187.742615 97.217 23.1576
188.079071 97.202 22.9216
188.415527 97.190 22.7271
188.751984 97.186 22.5453
189.088440 97.190 22.3303
189.424896 97.198 22.0414
189.761353 97.201 21.6689
190.097809 97.190 21.2451
190.434265 97.162 20.8357
190.770721 97.121 20.5119
191.107178 97.077 20.3148
191.443634 97.043 20.2305
191.780090 97.028 20.1919
192.116547 97.029 20.1118
192.453003 97.039 19.9305
192.789459 97.043 19.6489
193.125916 97.033 19.3277
193.462372 97.007 19.0537
193.798828 96.976 18.8925
194.135284 96.952 18.8505
194.471741 96.948 18.8680
194.808197 96.963 18.8513
195.144653 96.991 18.7237
195.481110 97.018 18.4656
195.817566 97.032 18.1180
196.154022 97.031 17.7537
196.490479 97.018 17.4338
196.826935 97.002 17.1766
197.163391 96.990 16.9533
197.499847 96.983 16.7132
197.836304 96.975 16.4221
198.172760 96.958 16.0877
198.509216 96.926 15.7582
198.845673 96.882 15.4957
199.182129 96.832 15.3422
199.518585 96.787 15.2973
199.855042 96.753 15.3206
200.191498 96.734 15.3570
