* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -26.9 dBFS, measurement signal peak level -26.0 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:54:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R LAV Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
175.630188 84.306 31.4536
175.966644 84.306 31.1814
176.303101 84.309 30.8986
176.639557 84.314 30.5936
176.976013 84.317 30.2672
177.312469 84.317 29.9319
177.648926 84.313 29.6049
177.985382 84.308 29.2991
178.321838 84.305 29.0161
178.658295 84.304 28.7451
178.994751 84.307 28.4680
179.331207 84.311 28.1689
179.667664 84.316 27.8414
180.004120 84.317 27.4924
180.340576 84.312 27.1381
180.677032 84.304 26.7969
181.013489 84.293 26.4801
181.349945 84.281 26.1880
181.686401 84.271 25.9102
182.022858 84.263 25.6322
182.359314 84.254 25.3437
182.695770 84.243 25.0449
183.032227 84.228 24.7477
183.368683 84.208 24.4709
183.705139 84.185 24.2323
184.041595 84.163 24.0394
184.378052 84.145 23.8848
184.714508 84.135 23.7460
185.050964 84.131 23.5931
185.387421 84.133 23.3994
185.723877 84.134 23.1514
186.060333 84.131 22.8547
186.396790 84.119 22.5339
186.733246 84.097 22.2247
187.069702 84.068 21.9624
187.406158 84.037 21.7693
187.742615 84.009 21.6453
188.079071 83.990 21.5657
188.415527 83.984 21.4879
188.751984 83.989 21.3661
189.088440 83.999 21.1669
189.424896 84.007 20.8806
189.761353 84.007 20.5249
190.097809 83.995 20.1370
190.434265 83.971 19.7614
190.770721 83.936 19.4357
191.107178 83.897 19.1802
191.443634 83.858 18.9941
191.780090 83.824 18.8604
192.116547 83.797 18.7559
192.453003 83.774 18.6630
192.789459 83.756 18.5750
193.125916 83.740 18.4949
193.462372 83.729 18.4277
193.798828 83.724 18.3707
194.135284 83.726 18.3082
194.471741 83.737 18.2136
194.808197 83.754 18.0587
195.144653 83.771 17.8262
195.481110 83.784 17.5194
195.817566 83.786 17.1631
196.154022 83.776 16.7961
196.490479 83.755 16.4575
196.826935 83.728 16.1732
197.163391 83.700 15.9464
197.499847 83.674 15.7587
197.836304 83.653 15.5803
198.172760 83.634 15.3860
198.509216 83.613 15.1692
198.845673 83.585 14.9462
199.182129 83.550 14.7505
199.518585 83.509 14.6182
199.855042 83.468 14.5704
200.191498 83.434 14.6022
200.527954 83.413 14.6812
200.864410 83.407 14.7589
201.200867 83.413 14.7906
201.537323 83.425 14.7515
201.873779 83.436 14.6442
202.210236 83.444 14.4929
202.546692 83.446 14.3291
202.883148 83.446 14.1745
203.219604 83.449 14.0298
203.556061 83.456 13.8745
203.892517 83.467 13.6766
204.228973 83.478 13.4103
204.565430 83.484 13.0701
204.901886 83.478 12.6779
205.238342 83.456 12.2773
205.574799 83.420 11.9203
205.911255 83.374 11.6487
206.247711 83.326 11.4794
206.584167 83.284 11.3979
206.920624 83.253 11.3635
207.257080 83.234 11.3256
207.593536 83.223 11.2435
207.929993 83.213 11.1021
208.266449 83.199 10.9143
208.602905 83.176 10.7142
208.939362 83.146 10.5408
209.275818 83.113 10.4204
209.612274 83.083 10.3560
209.948730 83.061 10.3244
210.285187 83.048 10.2864
210.621643 83.042 10.2034
210.958099 83.037 10.0534
211.294556 83.026 9.8417
211.631012 83.005 9.5991
211.967468 82.971 9.3716
212.303925 82.927 9.2047
212.640381 82.880 9.1274
212.976837 82.836 9.1420
213.313293 82.802 9.2222
213.649750 82.781 9.3222
213.986206 82.773 9.3928
214.322662 82.771 9.3984
214.659119 82.770 9.3284
214.995575 82.762 9.1989
215.332031 82.744 9.0457
215.668488 82.715 8.9121
216.004944 82.678 8.8347
216.341400 82.640 8.8320
216.677856 82.606 8.8994
217.014313 82.581 9.0106
217.350769 82.568 9.1266
217.687225 82.564 9.2081
218.023682 82.566 9.2279
218.360138 82.568 9.1776
218.696594 82.565 9.0693
219.033051 82.552 8.9312
219.369507 82.528 8.7986
219.705963 82.497 8.7054
220.042419 82.460 8.6754
220.378876 82.424 8.7159
220.715332 82.394 8.8171
221.051788 82.372 8.9553
221.388245 82.359 9.1008
221.724701 82.355 9.2283
222.061157 82.354 9.3244
222.397614 82.355 9.3914
222.734070 82.354 9.4441
223.070526 82.352 9.5022
223.406982 82.350 9.5800
223.743439 82.352 9.6787
224.079895 82.359 9.7845
224.416351 82.374 9.8738
224.752808 82.392 9.9238
225.089264 82.411 9.9243
225.425720 82.426 9.8846
225.762177 82.433 9.8312
226.098633 82.434 9.7980
226.435089 82.432 9.8123
226.771545 82.431 9.8809
227.108002 82.439 9.9854
227.444458 82.456 10.0869
227.780914 82.482 10.1422
228.117371 82.510 10.1218
228.453827 82.534 10.0244
228.790283 82.546 9.8790
229.126740 82.544 9.7360
229.463196 82.530 9.6501
229.799652 82.510 9.6617
230.136108 82.493 9.7814
230.472565 82.487 9.9849
230.809021 82.498 10.2214
231.145477 82.527 10.4296
231.481934 82.567 10.5590
231.818390 82.613 10.5845
232.154846 82.655 10.5118
232.491302 82.687 10.3713
232.827759 82.708 10.2070
233.164215 82.718 10.0619
233.500671 82.722 9.9664
233.837128 82.726 9.9304
234.173584 82.734 9.9424
234.510040 82.751 9.9747
234.846497 82.776 9.9934
235.182953 82.808 9.9697
235.519409 82.842 9.8892
235.855865 82.874 9.7542
236.192322 82.900 9.5824
236.528778 82.918 9.3997
236.865234 82.930 9.2322
237.201691 82.938 9.0997
237.538147 82.945 9.0120
237.874603 82.955 8.9675
238.211060 82.971 8.9561
238.547516 82.994 8.9615
238.883972 83.026 8.9633
239.220428 83.068 8.9381
239.556885 83.119 8.8602
239.893341 83.175 8.7041
240.229797 83.233 8.4491
240.566254 83.287 8.0857
240.902710 83.329 7.6224
241.239166 83.354 7.0891
241.575623 83.357 6.5349
241.912079 83.339 6.0217
242.248535 83.302 5.6107
242.584991 83.255 5.3471
242.921448 83.209 5.2458
243.257904 83.177 5.2827
243.594360 83.165 5.3986
243.930817 83.177 5.5154
244.267273 83.209 5.5600
244.603729 83.251 5.4862
244.940186 83.295 5.2852
245.276642 83.331 4.9824
245.613098 83.355 4.6243
245.949554 83.367 4.2594
246.286011 83.372 3.9226
246.622467 83.373 3.6256
246.958923 83.377 3.3557
247.295380 83.384 3.0846
247.631836 83.395 2.7816
247.968292 83.405 2.4282
248.304749 83.409 2.0256
248.641205 83.402 1.5964
248.977661 83.382 1.1782
249.314117 83.350 0.8127
249.650574 83.311 0.5338
249.987030 83.271 0.3560
250.323486 83.238 0.2688
250.659943 83.217 0.2378
250.996399 83.211 0.2137
251.332855 83.216 0.1478
251.669312 83.227 0.0061
252.005768 83.237 -0.2195
252.342224 83.239 -0.5095
252.678680 83.229 -0.8242
253.015137 83.206 -1.1152
253.351593 83.174 -1.3411
253.688049 83.140 -1.4796
254.024506 83.111 -1.5350
254.360962 83.094 -1.5372
254.697418 83.090 -1.5321
