* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -11.5 dBFS, measurement signal peak level -9.3 dBFS
* Format: 10 second Pink noise FSAF at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Nov 25 14:37:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R Nov 25
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
159.480286 100.330 32.1336
159.816742 100.379 32.0396
160.153198 100.436 31.8134
160.489655 100.489 31.4586
160.826111 100.529 31.0305
161.162567 100.556 30.6003
161.499023 100.574 30.2177
161.835480 100.593 29.8885
162.171936 100.619 29.5796
162.508392 100.651 29.2465
162.844849 100.683 28.8639
163.181305 100.712 28.4403
163.517761 100.734 28.0089
163.854218 100.750 27.6028
164.190674 100.768 27.2319
164.527130 100.790 26.8760
164.863586 100.818 26.4993
165.200043 100.847 26.0739
165.536499 100.873 25.5980
165.872955 100.890 25.0970
166.209412 100.899 24.6080
166.545868 100.902 24.1591
166.882324 100.905 23.7571
167.218781 100.911 23.3873
167.555237 100.922 23.0251
167.891693 100.937 22.6494
168.228149 100.954 22.2480
168.564606 100.970 21.8173
168.901062 100.985 21.3559
169.237518 100.997 20.8646
169.573975 101.002 20.3501
169.910431 100.998 19.8313
170.246887 100.985 19.3386
170.583344 100.967 18.9042
170.919800 100.948 18.5435
171.256256 100.937 18.2408
171.592712 100.938 17.9480
171.929169 100.949 17.6028
172.265625 100.963 17.1602
172.602081 100.969 16.6189
172.938538 100.958 16.0274
173.274994 100.926 15.4670
173.611450 100.881 15.0166
173.947906 100.834 14.7156
174.284363 100.800 14.5403
174.620819 100.789 14.4102
174.957275 100.800 14.2225
175.293732 100.822 13.9001
175.630188 100.842 13.4243
175.966644 100.847 12.8375
176.303101 100.830 12.2198
176.639557 100.794 11.6526
176.976013 100.748 11.1875
177.312469 100.702 10.8308
177.648926 100.664 10.5491
177.985382 100.636 10.2916
178.321838 100.616 10.0161
178.658295 100.599 9.7048
178.994751 100.581 9.3656
179.331207 100.558 9.0200
179.667664 100.533 8.6890
180.004120 100.508 8.3816
180.340576 100.485 8.0927
180.677032 100.465 7.8064
181.013489 100.449 7.5037
181.349945 100.434 7.1696
181.686401 100.416 6.7990
182.022858 100.393 6.3987
182.359314 100.360 5.9882
182.695770 100.319 5.5961
183.032227 100.268 5.2542
183.368683 100.213 4.9877
183.705139 100.160 4.8063
184.041595 100.115 4.6959
184.378052 100.082 4.6198
184.714508 100.062 4.5274
185.050964 100.051 4.3724
185.387421 100.043 4.1303
185.723877 100.028 3.8087
186.060333 100.001 3.4457
186.396790 99.960 3.0957
186.733246 99.910 2.8081
187.069702 99.856 2.6071
187.406158 99.808 2.4818
187.742615 99.770 2.3926
188.079071 99.741 2.2919
188.415527 99.718 2.1478
188.751984 99.693 1.9589
189.088440 99.664 1.7500
189.424896 99.629 1.5549
189.761353 99.594 1.3949
190.097809 99.561 1.2654
190.434265 99.535 1.1396
190.770721 99.513 0.9858
191.107178 99.491 0.7874
191.443634 99.465 0.5541
191.780090 99.431 0.3167
192.116547 99.390 0.1109
192.453003 99.347 -0.0422
192.789459 99.307 -0.1469
193.125916 99.274 -0.2288
193.462372 99.247 -0.3204
193.798828 99.222 -0.4432
194.135284 99.196 -0.5969
194.471741 99.165 -0.7609
194.808197 99.128 -0.9060
195.144653 99.088 -1.0078
195.481110 99.050 -1.0579
195.817566 99.017 -1.0667
196.154022 98.992 -1.0588
196.490479 98.975 -1.0634
196.826935 98.963 -1.1040
197.163391 98.952 -1.1908
197.499847 98.937 -1.3175
197.836304 98.917 -1.4628
198.172760 98.889 -1.5973
198.509216 98.856 -1.6943
198.845673 98.822 -1.7401
199.182129 98.792 -1.7418
199.518585 98.767 -1.7246
199.855042 98.749 -1.7194
200.191498 98.733 -1.7455
200.527954 98.713 -1.7980
200.864410 98.688 -1.8494
201.200867 98.659 -1.8647
201.537323 98.630 -1.8251
201.873779 98.609 -1.7433
202.210236 98.598 -1.6614
202.546692 98.595 -1.6285
202.883148 98.594 -1.6703
203.219604 98.585 -1.7713
203.556061 98.565 -1.8811
203.892517 98.536 -1.9424
204.228973 98.505 -1.9241
204.565430 98.482 -1.8413
204.901886 98.471 -1.7465
205.238342 98.471 -1.6968
205.574799 98.471 -1.7175
205.911255 98.466 -1.7872
206.247711 98.451 -1.8531
206.584167 98.432 -1.8655
206.920624 98.415 -1.8108
207.257080 98.409 -1.7214
207.593536 98.416 -1.6560
207.929993 98.428 -1.6628
208.266449 98.438 -1.7502
208.602905 98.439 -1.8843
208.939362 98.427 -2.0098
209.275818 98.409 -2.0822
209.612274 98.390 -2.0886
209.948730 98.375 -2.0486
210.285187 98.368 -1.9961
210.621643 98.366 -1.9568
210.958099 98.365 -1.9372
211.294556 98.363 -1.9293
211.631012 98.362 -1.9247
